h,btc_beta_001,btc_beta_050,btc_ratio_tail_med,btc_gap_lr,eth_beta_001,eth_beta_050,eth_ratio_tail_med,eth_gap_lr,beta_001_btc_over_eth
0,-0.02252857020983068,0.00048150772167376843,46.78755749029141,0.004472311061536671,-0.0321734761239991,0.0017120915835327,18.79191302232379,0.013539574138145001,0.700221826295791
1,-0.05160960884442467,0.004082527806303249,12.641581709435423,0.018725266511368188,-0.0868235067292637,0.0055950806810295,15.517829264490265,0.0443249787602902,0.5944197693529666
2,-0.06555060354939579,0.006494016792313317,10.09399969938254,0.055765250179135695,-0.1206927918851352,0.0072771836834766,16.58509625903457,0.0568115841090968,0.54311945664312
3,-0.05838548339190197,0.005666587977158022,10.303463676422824,0.05205611342333327,-0.1050940325880489,0.0100414494208288,10.466022202935587,0.044718395628727606,0.555554696628336
4,-0.07445977708927387,0.00774256469857959,9.616939604383786,0.04975467156129998,-0.1596352566105814,0.0121430627718829,13.146210277378678,0.0854637522793458,0.46643691794797615
5,-0.09071527208036906,0.010028655555364419,9.045606520192493,0.0730229418719322,-0.1454655704152632,0.0125467804522081,11.593856365731083,0.0730515958456142,0.6236202272565428
6,-0.10676821600637965,0.008784835015421127,12.153696207038145,0.1026263707597721,-0.1595437871821445,0.0142974812984098,11.15887364020468,0.08008235747936608,0.6692094872016974
7,-0.11827038790392663,0.007387391356677361,16.00976341899413,0.09680555445043382,-0.197725659269409,0.0150945847880981,13.09911216804806,0.07240604016069699,0.5981539691961708
8,-0.08349180893379682,0.011737762734542863,7.1130939363845025,0.07476225349646981,-0.1896277019635492,0.0168334744673753,11.264917550507102,0.05411437984599218,0.44029331194366245
9,-0.1178395225469937,0.012605799150144703,9.348040623480902,0.09741838759562382,-0.2239164229299062,0.0203221015020843,11.01836947851779,0.09623016697240691,0.5262656530730738
10,-0.1471962350856657,0.014935363208810726,9.855551085549171,0.14030642097776003,-0.1979355123216919,0.021929068127187,9.026170705188216,0.0804339212975904,0.7436575345127412
11,-0.1274244655899226,0.015910770455439524,8.008692347538652,0.10565156157547173,-0.1920011587350512,0.0256599690921798,7.4825171474413805,0.07245069605126099,0.6636650863433583
12,-0.14490472192349202,0.01594414182843823,9.08827351654873,0.14158434082691151,-0.2411159786718926,0.0320073298644344,7.533148803512459,0.15250510966822622,0.6009751934386581
13,-0.16162147799491022,0.015393551597858046,10.499297512173815,0.14422615654102755,-0.2147289469168569,0.0291358435964864,7.369923791832541,0.0979327685896791,0.7526767132029484
14,-0.11492658773781095,0.013071746404775342,8.791984190867275,0.09778230394094933,-0.1974548475816568,0.0283054314885013,6.975864249300356,0.06799705655205018,0.5820398392107514
15,-0.1431167338633852,0.0125603814614621,11.394298358095057,0.106918912692608,-0.1999625964447773,0.0266997935221939,7.489293738491298,0.04769386194089978,0.7157175212160692
16,-0.13786912052044364,0.014422885187110601,9.559052764536606,0.10511723217982727,-0.2120847365000813,0.0291546436884203,7.274475338016823,0.04118087097337769,0.650066208420382
17,-0.09437136001641377,0.01648866672091151,5.72340757526069,0.06741609232013346,-0.203146870223847,0.0256165698392331,7.930291662731404,0.04284908843140661,0.46454744743261966
18,-0.09483657857854766,0.014437006662443963,6.568991813604475,0.067823077266711,-0.2319170982593519,0.0285247914006694,8.130369649395908,0.06358294282625468,0.40892447900711626
19,-0.10435684331787343,0.015601187093451235,6.689032231507455,0.08450085455433509,-0.2794608315887679,0.031034676187192,9.004792893701959,0.10488126220321808,0.3734220739435735
20,-0.11333862918466764,0.01730803740371023,6.548323564425153,0.11019641161133276,-0.2689091852081589,0.0279230344962723,9.630371127610003,0.09077169936057228,0.4214754847326386
21,-0.1398865627892718,0.018408480859586573,7.599028070609268,0.13114162903549698,-0.2722877361458522,0.0313713920487065,8.679491675826961,0.09293138294219452,0.513745366461679
22,-0.10208991319480631,0.021174835611789233,4.821284805534313,0.0928740015659919,-0.2833673416736673,0.0368596066841847,7.687747297511216,0.08773207993787938,0.36027409719069015
23,-0.13388356148504954,0.023151608530890717,5.782905378104137,0.11950219600905143,-0.2636887001525601,0.0409168737164135,6.4444977390045155,0.09828713156210436,0.5077334046077427
24,-0.1188530003429662,0.025292570603821174,4.699126957265863,0.092968516905934,-0.2130955814934196,0.0377857923578941,5.639568954252729,0.05753599815461988,0.5577450246036021
