m,allocation,h,beta_head,beta_refit,dbeta,rel_dbeta,beta_inter_head,beta_inter_refit,dbeta_interaction,rel_dbeta_interaction,n_obs
0.1,prop_active,0,-0.03217347612401866,-0.03210728815411157,6.618796990709441e-05,0.0020572215961980776,-0.022182843020235765,-0.021482984464940458,0.0006998585552953074,0.03154954280012162,40582
0.1,prop_active,12,-0.24111597867197254,-0.23771003147020053,0.0034059472017720083,0.014125763130802901,0.05199320517905193,0.05099338283266164,-0.0009998223463902889,0.01922986557468701,40570
0.1,prop_oi,0,-0.03217347612401866,-0.035078009136814775,-0.002904533012796112,0.0902772520320791,-0.022182843020235765,-0.020071153433619315,0.00211168958661645,0.09519472254706539,40582
0.1,prop_oi,12,-0.24111597867197254,-0.10111546291626361,0.14000051575570893,0.5806355784747611,0.05199320517905193,-0.04516655021599725,-0.09715975539504917,1.8687010169974068,40570
0.1,stress_adj0,0,-0.03217347612401866,-0.03995630418978369,-0.007782828065765024,0.24190199516411165,-0.022182843020235765,-0.017945423420396622,0.004237419599839143,0.19102238590309,40582
0.1,stress_adj0,12,-0.24111597867197254,-0.13498427235495924,0.1061317063170133,0.4401686976598126,0.05199320517905193,0.01015175145468028,-0.04184145372437165,0.8047484970445634,40570
0.25,prop_active,0,-0.03217347612401866,-0.03171839345837668,0.0004550826656419815,0.014144653312802773,-0.022182843020235765,-0.02064615539040915,0.0015366876298266163,0.06927370077968861,40582
0.25,prop_active,12,-0.24111597867197254,-0.24861049760676224,-0.007494518934789696,0.031082630757481453,0.05199320517905193,0.05765241281210365,0.005659207633051722,0.10884513877463006,40570
0.25,prop_oi,0,-0.03217347612401866,-0.031637886368949264,0.0005355897550693989,0.01664693466770169,-0.022182843020235765,-0.020995693321106845,0.0011871496991289199,0.05351657125490953,40582
0.25,prop_oi,12,-0.24111597867197254,-0.08476371796332671,0.15635226070864583,0.6484525064237077,0.05199320517905193,-0.047405761383089384,-0.09939896656214131,1.9117683978095887,40570
0.25,stress_adj0,0,-0.03217347612401866,-0.03664769934076917,-0.004474223216750506,0.1390655830754432,-0.022182843020235765,-0.01909156645794141,0.003091276562294354,0.1393543902138428,40582
0.25,stress_adj0,12,-0.24111597867197254,-0.1219713304601413,0.11914464821183124,0.4941383348712952,0.05199320517905193,0.003918288919251722,-0.048074916259800204,0.9246384425472888,40570
0.5,prop_active,0,-0.03217347612401866,-0.03107936515680576,0.0010941109672129024,0.03400661349104609,-0.022182843020235765,-0.019710177346944135,0.0024726656732916297,0.1114674828215662,40582
0.5,prop_active,12,-0.24111597867197254,-0.2241707026091735,0.016945276062799053,0.07027852801847007,0.05199320517905193,0.04502629876894737,-0.006966906410104556,0.13399647869586476,40570
0.5,prop_oi,0,-0.03217347612401866,-0.029992852853122587,0.002180623270896076,0.06777704909753789,-0.022182843020235765,-0.019398253289887535,0.0027845897303482303,0.12552898326909925,40582
0.5,prop_oi,12,-0.24111597867197254,-0.07794675837772047,0.16316922029425207,0.6767250399287575,0.05199320517905193,-0.04804615598163764,-0.10003936116068957,1.924085287994429,40570
0.5,stress_adj0,0,-0.03217347612401866,-0.03552430119157313,-0.0033508250675544637,0.10414867994487396,-0.022182843020235765,-0.01774533014317181,0.004437512877063954,0.20004256771848133,40582
0.5,stress_adj0,12,-0.24111597867197254,-0.11061017672005669,0.13050580195191586,0.5412573761005824,0.05199320517905193,0.0009620458808727861,-0.05103115929817914,0.9814966998560728,40570
