m,allocation,h,alpha,beta_down_base,beta_up_base,delta_base,beta_down_refit,beta_up_refit,delta_refit,ddelta,abs_delta_refit,sesoi,mde80,within_sesoi,within_mde,n_obs
0.1,prop_active,0,0.01,0.0017831997716840904,0.0012543171852013868,0.0005288825864827036,0.0017550024119462597,0.0012339301886762986,0.0005210722232699611,-7.810363212742456e-06,0.0005210722232699611,0.0010915461253353,0.0009422558355928,True,True,40582
0.1,prop_active,6,0.01,0.0013269207389065916,0.0011770830792197158,0.00014983765968687576,0.0013059813882295625,0.0011588067078565833,0.00014717468037297923,-2.662979313896533e-06,0.00014717468037297923,0.0010915461253353,0.0009422558355928,True,True,40576
0.1,prop_active,12,0.01,0.000992717199856454,0.0010642654006063072,-7.154820074985321e-05,0.0009762931658586858,0.0010487382344221755,-7.244506856348971e-05,-8.968678136365028e-07,7.244506856348971e-05,0.0010915461253353,0.0009422558355928,True,True,40570
0.1,prop_oi,0,0.01,0.0017831997716840904,0.0012543171852013868,0.0005288825864827036,0.0008573572300482155,0.0007854627531364047,7.18944769118108e-05,-0.0004569881095708928,7.18944769118108e-05,0.0010915461253353,0.0009422558355928,True,True,40582
0.1,prop_oi,6,0.01,0.0013269207389065916,0.0011770830792197158,0.00014983765968687576,0.0005599234938726909,0.00040025308300977553,0.0001596704108629154,9.832751176039648e-06,0.0001596704108629154,0.0010915461253353,0.0009422558355928,True,True,40576
0.1,prop_oi,12,0.01,0.000992717199856454,0.0010642654006063072,-7.154820074985321e-05,0.00024639462401476297,0.00048328500401374443,-0.00023689037999898146,-0.00016534217924912825,0.00023689037999898146,0.0010915461253353,0.0009422558355928,True,True,40570
0.1,stress_adj0,0,0.01,0.0017831997716840904,0.0012543171852013868,0.0005288825864827036,0.0011557157439808564,0.001035913884320893,0.00011980185965996333,-0.00040908072682274027,0.00011980185965996333,0.0010915461253353,0.0009422558355928,True,True,40582
0.1,stress_adj0,6,0.01,0.0013269207389065916,0.0011770830792197158,0.00014983765968687576,0.0007447141794919089,0.0004896081625759513,0.00025510601691595763,0.00010526835722908187,0.00025510601691595763,0.0010915461253353,0.0009422558355928,True,True,40576
0.1,stress_adj0,12,0.01,0.000992717199856454,0.0010642654006063072,-7.154820074985321e-05,0.00038530524768674764,0.0005223735879473713,-0.00013706834026062361,-6.55201395107704e-05,0.00013706834026062361,0.0010915461253353,0.0009422558355928,True,True,40570
0.25,prop_active,0,0.01,0.0017831997716840904,0.0012543171852013868,0.0005288825864827036,0.0017181953339993569,0.00120733122581168,0.0005108641081876769,-1.8018478295026702e-05,0.0005108641081876769,0.0010915461253353,0.0009422558355928,True,True,40582
