h,mean,median,ci_lo,ci_hi,n_success,pct_negative
0,-0.13669308728225715,-0.13686084493888487,-0.18815830717384704,-0.08974869740260076,1000.0,100.0
3,-0.21890442501061136,-0.2088746688047033,-0.3638670529103728,-0.10225907390420612,1000.0,100.0
6,-0.32511357738100277,-0.3207680039872747,-0.5317226087385343,-0.1289215090081983,1000.0,100.0
12,-0.442979203579848,-0.43632004372020655,-0.765893426064061,-0.1675193832202351,1000.0,100.0
24,-0.40600028126668725,-0.36719267481007245,-0.8105541576578129,-0.1270227806685133,1000.0,99.9
