block_size,alpha,h,object,estimate,ci_lo,ci_hi,pval,mde80,n_obs
12,0.01,0,beta_down,0.0017831997716840897,0.0011706856882698893,0.0023656513979558725,,,40582
24,0.01,0,beta_down,0.0017831997716840897,0.001123345126608788,0.002427119814482831,,,40582
36,0.01,0,beta_down,0.0017831997716840897,0.001145216447629192,0.00243231184772579,,,40582
48,0.01,0,beta_down,0.0017831997716840897,0.001113761362185367,0.0024729050173514793,,,40582
12,0.01,1,beta_down,0.0014234418742115258,0.0008508273476177249,0.00199265661696784,,,40581
24,0.01,1,beta_down,0.0014234418742115258,0.0008198003934398561,0.0020795591802808483,,,40581
36,0.01,1,beta_down,0.0014234418742115258,0.0007916275312673868,0.002165308264590393,,,40581
48,0.01,1,beta_down,0.0014234418742115258,0.0008006472541407847,0.002134305354040526,,,40581
12,0.01,3,beta_down,0.0009680556907817677,0.00046392063395461395,0.0014799531244462255,,,40579
24,0.01,3,beta_down,0.0009680556907817677,0.00037854030761226093,0.0014927748849057497,,,40579
36,0.01,3,beta_down,0.0009680556907817677,0.00039008104546065815,0.001500887404855006,,,40579
48,0.01,3,beta_down,0.0009680556907817677,0.0004104096800997334,0.0015073342065766303,,,40579
12,0.01,6,beta_down,0.0013269207389065912,0.0007305569383679899,0.001990385704885548,,,40576
24,0.01,6,beta_down,0.0013269207389065912,0.000668570276118181,0.002039833985434328,,,40576
36,0.01,6,beta_down,0.0013269207389065912,0.0006936022943901422,0.0020210427532789243,,,40576
48,0.01,6,beta_down,0.0013269207389065912,0.0006523402072218838,0.0020584536788332006,,,40576
12,0.01,12,beta_down,0.000992717199856456,0.0004072977671524059,0.0015941003911286236,,,40570
24,0.01,12,beta_down,0.000992717199856456,0.000330603089454281,0.0016418596398943652,,,40570
36,0.01,12,beta_down,0.000992717199856456,0.00033182889085178594,0.0016788160857311553,,,40570
48,0.01,12,beta_down,0.000992717199856456,0.0003584359179740645,0.0016852221893378515,,,40570
12,0.01,24,beta_down,0.000650638159686217,0.0001604031281470667,0.0011912207295866376,,,40558
24,0.01,24,beta_down,0.000650638159686217,0.00011735967601948824,0.0012166027378668755,,,40558
36,0.01,24,beta_down,0.000650638159686217,9.44534295730416e-05,0.0012533161998427634,,,40558
48,0.01,24,beta_down,0.000650638159686217,6.090957210792386e-05,0.0012083041505432887,,,40558
12,0.01,0,beta_up,0.0012543171852013996,0.0006872969344386891,0.00186818867159719,,,40582
24,0.01,0,beta_up,0.0012543171852013996,0.0006851208583328444,0.001819056275923358,,,40582
36,0.01,0,beta_up,0.0012543171852013996,0.0006715539489784216,0.001858185939531421,,,40582
48,0.01,0,beta_up,0.0012543171852013996,0.0006575330245084916,0.0018728115156351724,,,40582
12,0.01,1,beta_up,0.0011339761780850355,0.0005846374550300827,0.0017053753841326429,,,40581
24,0.01,1,beta_up,0.0011339761780850355,0.0006121963710534352,0.001703542165504449,,,40581
36,0.01,1,beta_up,0.0011339761780850355,0.0005299316405577942,0.001742845219455712,,,40581
48,0.01,1,beta_up,0.0011339761780850355,0.0005176994150081177,0.001754536513667305,,,40581
12,0.01,3,beta_up,0.0012024845493430034,0.0006309984423598027,0.0018050936601583156,,,40579
24,0.01,3,beta_up,0.0012024845493430034,0.0005897758219183162,0.001796363817861203,,,40579
36,0.01,3,beta_up,0.0012024845493430034,0.0006458660040290973,0.0018138384255767506,,,40579
48,0.01,3,beta_up,0.0012024845493430034,0.0006360621870189785,0.0017891550362790565,,,40579
12,0.01,6,beta_up,0.001177083079219724,0.0005992722754652533,0.0017551377157918548,,,40576
24,0.01,6,beta_up,0.001177083079219724,0.000591333613865124,0.0018089863644386635,,,40576
36,0.01,6,beta_up,0.001177083079219724,0.0005313506207803381,0.0018237212174298733,,,40576
48,0.01,6,beta_up,0.001177083079219724,0.0005677044421690342,0.0018077099121569546,,,40576
12,0.01,12,beta_up,0.0010642654006063146,0.0004452689573981312,0.0016754046221687366,,,40570
24,0.01,12,beta_up,0.0010642654006063146,0.00043189800026823157,0.001703944532795264,,,40570
36,0.01,12,beta_up,0.0010642654006063146,0.00038499394558015593,0.0017070008367588473,,,40570
48,0.01,12,beta_up,0.0010642654006063146,0.00041630482952051287,0.0017381785045287475,,,40570
12,0.01,24,beta_up,0.001092181356101773,0.0004977952758326955,0.0017182513093123176,,,40558
24,0.01,24,beta_up,0.001092181356101773,0.0004470924491309697,0.0018269505036633488,,,40558
36,0.01,24,beta_up,0.001092181356101773,0.0004000622216925393,0.0018183663659520936,,,40558
48,0.01,24,beta_up,0.001092181356101773,0.0004146919383362634,0.0018739864423505364,,,40558
12,0.01,0,delta_paired,0.0005288825864826902,-0.00012793665749500082,0.0012165228020966307,0.128,0.0009603281854225939,40582
24,0.01,0,delta_paired,0.0005288825864826902,-6.355976404845918e-05,0.0012548277617314423,0.11,0.0009417053755570725,40582
36,0.01,0,delta_paired,0.0005288825864826902,-6.41925535060533e-05,0.0011791941053644502,0.098,0.0008881333277646452,40582
48,0.01,0,delta_paired,0.0005288825864826902,-0.0001116791579856387,0.001165247275794808,0.096,0.000912090309843176,40582
12,0.01,1,delta_paired,0.00028946569612649025,-0.0003983549637993171,0.0010100549221006506,0.437,0.0010060070613571199,40581
24,0.01,1,delta_paired,0.00028946569612649025,-0.00045319997230786985,0.0009670911964293088,0.428,0.0010144936919551275,40581
36,0.01,1,delta_paired,0.00028946569612649025,-0.0003854132705130378,0.0009556565960688493,0.365,0.0009579070475584907,40581
48,0.01,1,delta_paired,0.00028946569612649025,-0.00039984657297541986,0.0009577181868328187,0.399,0.0009696891141487418,40581
12,0.01,3,delta_paired,-0.00023442885856123563,-0.0008639711035844233,0.0003609697595245196,0.454,0.0008749577593635306,40579
24,0.01,3,delta_paired,-0.00023442885856123563,-0.000880967984967529,0.00033396785161568884,0.466,0.0008678113118451554,40579
36,0.01,3,delta_paired,-0.00023442885856123563,-0.0008435087069285264,0.00038118444269402577,0.449,0.0008747808211589657,40579
48,0.01,3,delta_paired,-0.00023442885856123563,-0.0008336924877258256,0.00040211306538914544,0.438,0.0008827182522249792,40579
12,0.01,6,delta_paired,0.00014983765968686709,-0.000627061843037613,0.0009521283911902488,0.693,0.0011279930244484726,40576
24,0.01,6,delta_paired,0.00014983765968686709,-0.0006194948791747192,0.0009029523523520297,0.694,0.001087462308233392,40576
36,0.01,6,delta_paired,0.00014983765968686709,-0.0005570966164406381,0.0008057190242476612,0.663,0.0009734397433487851,40576
48,0.01,6,delta_paired,0.00014983765968686709,-0.0005315403291963445,0.0008129160868434229,0.672,0.0009603260114569765,40576
12,0.01,12,delta_paired,-7.154820074985863e-05,-0.000858258614396407,0.0006585629662782059,0.836,0.001083443986196152,40570
24,0.01,12,delta_paired,-7.154820074985863e-05,-0.0008749231297520261,0.0007229970759634178,0.844,0.0011413715755110312,40570
36,0.01,12,delta_paired,-7.154820074985863e-05,-0.0008732373174562864,0.0006909437052931756,0.859,0.0011172721591067585,40570
48,0.01,12,delta_paired,-7.154820074985863e-05,-0.0008946257106530473,0.0006960694503445017,0.875,0.0011362108292839637,40570
12,0.01,24,delta_paired,-0.0004415431964155561,-0.0011492517838770028,0.0002753892913513826,0.218,0.0010176007680202754,40558
24,0.01,24,delta_paired,-0.0004415431964155561,-0.001124048580628647,0.00023259720868286138,0.234,0.0009690327066510774,40558
36,0.01,24,delta_paired,-0.0004415431964155561,-0.0011764804789446113,0.00021282942818725932,0.216,0.0009923642193799076,40558
48,0.01,24,delta_paired,-0.0004415431964155561,-0.0011679114203625824,0.0002523391254735437,0.205,0.001014464675597233,40558
