test,beta_shock,pval_shock,beta_interact,se_interact,pval_interact
OI_P70,-0.03773639405314122,4.705401905639679e-10,-0.011314339088308145,0.008848551068294113,0.2010221031558164
OI_P80,-0.03217347612399912,1.6244122405031527e-08,-0.0221828430203157,0.009637340693634349,0.021353764124580638
OI_P90,-0.03343548207578184,5.611602587883839e-09,-0.021036674782667575,0.012061737363250325,0.08115213723933552
Collateral_USD,-0.03226632297040155,8.830588320135992e-09,-0.021856745160735436,0.00951471129763114,0.02161512444817829
