object,label,estimate,se,lo90,hi90,sesoi,verdict,is_equivalent,distance_to_equiv_boundary
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,1.91689907147325e-05,INCONCLUSIVE,False,-0.001062926440649608
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,1.9492841962184582e-05,INCONCLUSIVE,False,-0.001062602589402156
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,1.982216452693435e-05,INCONCLUSIVE,False,-0.0010622732668374062
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.015705084436128e-05,INCONCLUSIVE,False,-0.0010619383805199791
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.0497594911498004e-05,INCONCLUSIVE,False,-0.0010615978364528424
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.0843892313413585e-05,INCONCLUSIVE,False,-0.0010612515390509268
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.1196040250042735e-05,INCONCLUSIVE,False,-0.0010608993911142978
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.155413756346805e-05,INCONCLUSIVE,False,-0.0010605412938008724
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.1918284765663614e-05,INCONCLUSIVE,False,-0.0010601771465986768
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.2288584066706896e-05,INCONCLUSIVE,False,-0.0010598068472976335
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.2665139403467306e-05,INCONCLUSIVE,False,-0.001059430291960873
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.3048056468779804e-05,INCONCLUSIVE,False,-0.0010590473748955606
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.3437442741110995e-05,INCONCLUSIVE,False,-0.0010586579886232295
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.3833407514726415e-05,INCONCLUSIVE,False,-0.001058262023849614
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.4236061930367897e-05,INCONCLUSIVE,False,-0.0010578593694339725
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.4645519006448738e-05,INCONCLUSIVE,False,-0.0010574499123578917
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.50618936707762e-05,INCONCLUSIVE,False,-0.0010570335376935643
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.5485302792809635e-05,INCONCLUSIVE,False,-0.0010566101285715307
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.5915865216464092e-05,INCONCLUSIVE,False,-0.0010561795661478764
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.6353701793467706e-05,INCONCLUSIVE,False,-0.0010557417295708727
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.679893541728259e-05,INCONCLUSIVE,False,-0.0010552964959470578
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.725169105759933e-05,INCONCLUSIVE,False,-0.001054843740306741
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.771209579541372e-05,INCONCLUSIVE,False,-0.0010543833355689267
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.818027885869615e-05,INCONCLUSIVE,False,-0.0010539151525056443
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.8656371658664058e-05,INCONCLUSIVE,False,-0.0010534390597056764
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.9140507826666676e-05,INCONCLUSIVE,False,-0.0010529549235376737
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,2.9632823251693243e-05,INCONCLUSIVE,False,-0.0010524626081126471
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.0133456118514544e-05,INCONCLUSIVE,False,-0.0010519619752458258
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.064254694646945e-05,INCONCLUSIVE,False,-0.001051452884417871
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.116023862890617e-05,INCONCLUSIVE,False,-0.0010509351927354342
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.1686676473289895e-05,INCONCLUSIVE,False,-0.0010504087548910506
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.22220082419885e-05,INCONCLUSIVE,False,-0.001049873423122352
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.2766384193746815e-05,INCONCLUSIVE,False,-0.0010493290471705937
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.331995712586183e-05,INCONCLUSIVE,False,-0.0010487754742384786
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.388288241707011e-05,INCONCLUSIVE,False,-0.0010482125489472704
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.445531807116046e-05,INCONCLUSIVE,False,-0.00104764011329318
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.5037424761322744e-05,INCONCLUSIVE,False,-0.0010470580066030176
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.562936587524595e-05,INCONCLUSIVE,False,-0.0010464660654890944
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.623130756097885e-05,INCONCLUSIVE,False,-0.0010458641238033615
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.684341877356481e-05,INCONCLUSIVE,False,-0.0010452520125907756
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.74658713224644e-05,INCONCLUSIVE,False,-0.001044629560041876
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.8098839919779927e-05,INCONCLUSIVE,False,-0.0010439965914445606
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.874250222929402e-05,INCONCLUSIVE,False,-0.0010433529291350465
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,3.9397038916336613e-05,INCONCLUSIVE,False,-0.0010426983924480039
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.0062633698495246e-05,INCONCLUSIVE,False,-0.0010420327976658453
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.073947339718117e-05,INCONCLUSIVE,False,-0.0010413559579671593
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.142774799006722e-05,INCONCLUSIVE,False,-0.0010406676833742733
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.2127650664411034e-05,INCONCLUSIVE,False,-0.0010399677806999293
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.283937787128004e-05,INCONCLUSIVE,False,-0.0010392560534930604
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.3563129380691724e-05,INCONCLUSIVE,False,-0.0010385323019836488
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.429910833768553e-05,INCONCLUSIVE,False,-0.001037796323026655
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.504752131934281e-05,INCONCLUSIVE,False,-0.0010370479100449976
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.580857839276923e-05,INCONCLUSIVE,False,-0.0010362868529715712
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.658249317405734e-05,INCONCLUSIVE,False,-0.0010355129381902832
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.736948288824461e-05,INCONCLUSIVE,False,-0.0010347259484760959
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.816976843028554e-05,INCONCLUSIVE,False,-0.0010339256629340549
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.8983574427052896e-05,INCONCLUSIVE,False,-0.0010331118569372876
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,4.981112930038643e-05,INCONCLUSIVE,False,-0.001032284302063954
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.065266533120773e-05,INCONCLUSIVE,False,-0.0010314427660331328
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.1508418724717296e-05,INCONCLUSIVE,False,-0.0010305870126396232
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.237862967669312e-05,INCONCLUSIVE,False,-0.0010297168016876472
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.3263542440910265e-05,INCONCLUSIVE,False,-0.00102883188892343
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.416340539769847e-05,INCONCLUSIVE,False,-0.0010279320259666419
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.5078471123658555e-05,INCONCLUSIVE,False,-0.0010270169602406818
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.6008996462556054e-05,INCONCLUSIVE,False,-0.0010260864349017843
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.695524259741367e-05,INCONCLUSIVE,False,-0.0010251401887669267
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.791747512382068e-05,INCONCLUSIVE,False,-0.0010241779562405197
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.8895964124480885e-05,INCONCLUSIVE,False,-0.0010231994672398595
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,5.9890984245020986e-05,INCONCLUSIVE,False,-0.0010222044471193195
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,6.090281477107864e-05,INCONCLUSIVE,False,-0.0010211926165932619
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,6.193173970669352e-05,INCONCLUSIVE,False,-0.0010201636916576469
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,6.297804785402203e-05,INCONCLUSIVE,False,-0.0010191173835103185
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,6.404203289440008e-05,INCONCLUSIVE,False,-0.0010180533984699403
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,6.51239934707741e-05,INCONCLUSIVE,False,-0.0010169714378935664
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,6.622423327152485e-05,INCONCLUSIVE,False,-0.0010158711980928156
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,6.734306111570848e-05,INCONCLUSIVE,False,-0.001014752370248632
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,6.848079103973645e-05,INCONCLUSIVE,False,-0.001013614640324604
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,6.963774238552004e-05,INCONCLUSIVE,False,-0.0010124576889788204
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,7.081423989010507e-05,INCONCLUSIVE,False,-0.0010112811914742353
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,7.20106137768198e-05,INCONCLUSIVE,False,-0.0010100848175875208
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,7.322719984796275e-05,INCONCLUSIVE,False,-0.0010088682315163777
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,7.446433957905763e-05,INCONCLUSIVE,False,-0.0010076310917852829
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,7.572238021469933e-05,INCONCLUSIVE,False,-0.001006373051149641
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,7.700167486602002e-05,INCONCLUSIVE,False,-0.0010050937564983205
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,7.830258260980088e-05,INCONCLUSIVE,False,-0.0010037928487545396
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,7.962546858926003e-05,INCONCLUSIVE,False,-0.0010024699627750803
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,8.097070411654153e-05,INCONCLUSIVE,False,-0.0010011247272477988
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,8.233866677693677e-05,INCONCLUSIVE,False,-0.0009997567645874037
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,8.372974053486587e-05,INCONCLUSIVE,False,-0.0009983656908294745
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,8.5144315841651e-05,INCONCLUSIVE,False,-0.0009969511155226893
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,8.658278974510919e-05,INCONCLUSIVE,False,-0.0009955126416192313
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,8.804556600099641e-05,INCONCLUSIVE,False,-0.000994049865363344
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,8.953305518633633e-05,INCONCLUSIVE,False,-0.0009925623761780041
exceedance_delta,alpha=0.01 (h=0),0.0005288825864826,0.0003363295285472,-2.433025839914066e-05,0.0010820954313643404,9.104567481466181e-05,INCONCLUSIVE,False,-0.0009910497565496787
