tau,h,beta_kernel,se_kernel,beta_boot_mean,se_boot_M,ratio
0.01,0,-0.0321734761239991,0.005695406237804,-0.0379119095239154,0.009421942098290153,1.654305541148371
0.01,3,-0.1050940325880489,0.0229489717324755,-0.1118395890200205,0.03617193634045819,1.5761898512110954
0.01,6,-0.1595437871821445,0.0344070317450147,-0.1653143471040006,0.09307525895153919,2.7051231748587274
0.01,12,-0.2411159786718926,0.0404052058089546,-0.2539279532655533,0.1345948974481195,3.3311276295563528
0.01,24,-0.2130955814934196,0.0464596769251078,-0.1985415418664981,0.09302188513491903,2.0022068875956394
