h,mean,median,ci_lo,ci_hi,n_success,pct_negative
0,-0.08170315239449259,-0.08299150296406574,-0.11819779552852361,-0.03967646954092032,1000.0,100.0
3,-0.12459448890239992,-0.1221239469894421,-0.23469239290268162,-0.03740801849638486,1000.0,99.8
6,-0.1230307541154198,-0.11328768927784647,-0.2971591060557181,0.009312854408732939,1000.0,96.0
12,-0.21772937446439686,-0.2143517846416605,-0.5285174746473316,-0.032661653348519774,1000.0,99.4
24,-0.11843500146885828,-0.11787157461479492,-0.3434174663925994,0.08223364748556693,1000.0,88.5
