h,beta,se_kernel,se_boot,ratio,ci_lo,ci_hi,zero_in_ci
0,-0.0321734761239991,0.005695406237804,0.020030950507041657,3.5170363044665045,-0.1181977955285236,-0.0396764695409203,False
3,-0.1050940325880489,0.0229489717324755,0.05032764653221857,2.193024032575674,-0.2346923929026816,-0.0374080184963848,False
6,-0.1595437871821445,0.0344070317450147,0.078181622567462,2.2722571114780887,-0.2971591060557181,0.0093128544087329,True
12,-0.2411159786718926,0.0404052058089546,0.12649383196398262,3.130632041872908,-0.5285174746473316,-0.0326616533485197,False
24,-0.2130955814934196,0.0464596769251078,0.10858446782606283,2.337176558526206,-0.3434174663925994,0.0822336474855669,True
