h,mean,median,ci_lo,ci_hi,n_success,pct_negative
0,-0.00010551955673754398,0.0006781460973168674,-0.08017637606162022,0.07210390460701774,1000.0,48.4
3,-0.054004989866823117,-0.044092041979116425,-0.25272818375540046,0.12682343298119675,1000.0,70.5
6,-0.04387393361838241,-0.04507133597726792,-0.2726316260171291,0.19572330965127277,1000.0,68.10000000000001
12,0.08130488501754293,0.10558007452016549,-0.3921172688144848,0.45844256300093295,1000.0,31.4
24,-0.13884680775660035,-0.12017885557344332,-0.6282471980705375,0.2599723506406416,1000.0,75.5
