tau,h,ci_lo,ci_hi,se,mde_50,mde_80,beta_direct,abs_beta_direct,ratio_mde80_to_direct,verdict
0.01,0,-0.0801763760616202,0.0721039046070177,0.03884772421070115,0.07614014033431896,0.10883520990602963,-0.0321734761239991,0.0321734761239991,3.382761921235063,UNDERPOWERED-NULL
0.01,3,-0.2527281837554004,0.1268234329811967,0.09682617122826027,0.18977580836829855,0.27126677003956917,-0.1050940325880489,0.1050940325880489,2.5811814749072357,UNDERPOWERED-NULL
0.01,6,-0.2726316260171291,0.1957233096512727,0.1194804953975496,0.2341774678342009,0.3347347897585895,-0.1595437871821445,0.1595437871821445,2.0980747396727946,UNDERPOWERED-NULL
0.01,12,-0.3921172688144848,0.4584425630009329,0.21698353605589826,0.42527991590770886,0.6078978671880869,-0.2411159786717416,0.2411159786717416,2.5211844960954948,UNDERPOWERED-NULL
0.01,24,-0.6282471980705375,0.2599723506406416,0.2265907832279934,0.44410977435558957,0.6348133888521862,-0.2130955814934196,0.2130955814934196,2.979007750434231,UNDERPOWERED-NULL
