h,mean,median,ci_lo,ci_hi,n_success,pct_negative
0,-0.037911909523915426,-0.03483861132213972,-0.05973976972754227,-0.0228057567022448,1000.0,100.0
3,-0.11183958902002056,-0.10393670334706151,-0.1907773203438148,-0.04898332988921875,1000.0,100.0
6,-0.1653143471040006,-0.15240417602971457,-0.40177516050480466,-0.036920145414771004,1000.0,99.6
12,-0.2539279532655533,-0.24354837841479338,-0.5756197160522755,-0.048007718055647096,1000.0,99.8
24,-0.19854154186649817,-0.2028742338924785,-0.3813226457160038,-0.016676855987121212,1000.0,98.4
