dgp,vol_model,h,tau,beta_real,beta_placebo_mean,placebo_ci_lo,placebo_ci_hi,gap_real,gap_placebo
model_scaled,garch,0,0.01,-0.03217347612399912,-0.03035112553799612,-0.05061152764220213,-0.012181365886563095,0.013539574138174526,-0.000921889249819523
model_scaled,garch,0,0.05,-0.019448830062145817,-0.013708557788738722,-0.019072221579367186,-0.008822069410389967,0.013539574138174526,-0.000921889249819523
model_scaled,garch,0,0.95,0.0184300595954614,0.014159585258525,0.008747442620674173,0.01995106071308712,0.013539574138174526,-0.000921889249819523
model_scaled,garch,0,0.99,0.018633901985824597,0.03127317805679376,0.012808120898827127,0.05243461843802025,0.013539574138174526,-0.000921889249819523
model_scaled,garch,1,0.01,-0.08682350672926376,-0.06910274406450384,-0.10204911465923852,-0.04024697767024534,0.04443042496625438,0.016275122829649977
model_scaled,garch,1,0.05,-0.04540645567431412,-0.033321899712005776,-0.042969221913412306,-0.023800693644056233,0.04443042496625438,0.016275122829649977
model_scaled,garch,1,0.95,0.03066520534648909,0.03362342604833094,0.0245336801013298,0.04364338157924287,0.04443042496625438,0.016275122829649977
model_scaled,garch,1,0.99,0.04239308176300938,0.052827621234853864,0.027911544559087686,0.0827269618267644,0.04443042496625438,0.016275122829649977
model_scaled,garch,3,0.01,-0.10509403258804895,-0.08671946477324369,-0.14253510934336572,-0.03808512971314078,0.04471839562835811,0.038335381470601566
model_scaled,garch,3,0.05,-0.04584596590021306,-0.04326189273483153,-0.05856131500845019,-0.02794826558851588,0.04471839562835811,0.038335381470601566
model_scaled,garch,3,0.95,0.043926386415731655,0.04129483763297813,0.025522638104631356,0.05703980882924274,0.04471839562835811,0.038335381470601566
model_scaled,garch,3,0.99,0.06037563695969084,0.04827341735557906,0.006191411974345251,0.09166748116949601,0.04471839562835811,0.038335381470601566
model_scaled,garch,6,0.01,-0.15954378718214457,-0.1206843291032175,-0.1969546960400256,-0.05463204269129345,0.0800823574793803,0.07112740674877108
model_scaled,garch,6,0.05,-0.07923013621915942,-0.059554402717225924,-0.08646840993621004,-0.03616332346721755,0.0800823574793803,0.07112740674877108
model_scaled,garch,6,0.95,0.0414352910896838,0.04749952335397336,0.026756424543639606,0.07409771096765565,0.0800823574793803,0.07112740674877108
model_scaled,garch,6,0.99,0.07946142970276426,0.04805091636099218,-0.013305069679323933,0.11455742826936614,0.0800823574793803,0.07112740674877108
model_scaled,garch,12,0.01,-0.2411159786718926,-0.20327322519918856,-0.3224769418076566,-0.08452893218381773,0.1525051096686525,0.1253327465718912
model_scaled,garch,12,0.05,-0.10169389045756105,-0.07611638016422392,-0.11652087712006207,-0.040817476232643514,0.1525051096686525,0.1253327465718912
model_scaled,garch,12,0.95,0.0774329048564546,0.07022488695822394,0.03195543094335877,0.10923437537028996,0.1525051096686525,0.1253327465718912
model_scaled,garch,12,0.99,0.08861086900324011,0.07633125148246145,-0.012675707408447277,0.1739420174513299,0.1525051096686525,0.1253327465718912
model_scaled,garch,18,0.01,-0.23191709825935192,-0.17642710424503524,-0.33199209180720235,-0.042244547870677746,0.06358294282643229,0.08340693292535561
model_scaled,garch,18,0.05,-0.08677621073299058,-0.0679863067507632,-0.11609274686947499,-0.01861474231724218,0.06358294282643229,0.08340693292535561
model_scaled,garch,18,0.95,0.11293117535373387,0.0837371059708324,0.03407435681539089,0.1360662438922393,0.06358294282643229,0.08340693292535561
